Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
[200]    0.0    0.00    0.00    1196         bool __gnu_cxx::operator!=<std::vector<int, std::allocator<int> >*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > >(__gnu_cxx::__normal_iterator<std::vector<int, std::allocator<int> >*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > > const&, __gnu_cxx::__normal_iterator<std::vector<int, std::allocator<int> >*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > > const&) [200]
                0.00    0.00    2392/2440        __gnu_cxx::__normal_iterator<std::vector<int, std::allocator<int> >*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > >::base() const [168]
-----------------------------------------------
                0.00    0.00       1/1196        std::_Deque_base<int, std::allocator<int> >::_Deque_impl::_Deque_impl() [333]
                0.00    0.00    1195/1196        std::_Vector_base<int, std::allocator<int> >::_Vector_impl::_Vector_impl() [208]
[201]    0.0    0.00    0.00    1196         std::allocator<int>::allocator() [201]
                0.00    0.00    1196/1196        __gnu_cxx::new_allocator<int>::new_allocator() [199]
-----------------------------------------------
                0.00    0.00    1195/1195        void std::allocator_traits<std::allocator<std::vector<int, std::allocator<int> > > >::construct<std::vector<int, std::allocator<int> >, std::vector<int, std::allocator<int> > const&>(std::allocator<std::vector<int, std::allocator<int> > >&, std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> > const&) [212]
[202]    0.0    0.00    0.00    1195         void __gnu_cxx::new_allocator<std::vector<int, std::allocator<int> > >::construct<std::vector<int, std::allocator<int> >, std::vector<int, std::allocator<int> > const&>(std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> > const&) [202]
                0.00    0.00    1195/2402        std::vector<int, std::allocator<int> > const& std::forward<std::vector<int, std::allocator<int> > const&>(std::remove_reference<std::vector<int, std::allocator<int> > const&>::type&) [177]
                0.00    0.00    1195/43242       operator new(unsigned long, void*) [81]
                0.00    0.00    1195/1195        std::vector<int, std::allocator<int> >::vector(std::vector<int, std::allocator<int> > const&) [216]
-----------------------------------------------
                0.00    0.00    1195/1195        std::vector<int, std::allocator<int> >::vector(std::vector<int, std::allocator<int> > const&) [216]
[203]    0.0    0.00    0.00    1195         __gnu_cxx::__alloc_traits<std::allocator<int>, int>::_S_select_on_copy(std::allocator<int> const&) [203]
                0.00    0.00    1195/1195        std::allocator_traits<std::allocator<int> >::select_on_container_copy_construction(std::allocator<int> const&) [213]
-----------------------------------------------
                0.00    0.00    1195/1195        KosarajuAdjMatrix::findSCCs() [2]
[204]    0.0    0.00    0.00    1195         __gnu_cxx::__normal_iterator<std::vector<int, std::allocator<int> >*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > >::operator++() [204]
-----------------------------------------------
                0.00    0.00    1195/1195        KosarajuAdjMatrix::findSCCs() [2]
[205]    0.0    0.00    0.00    1195         __gnu_cxx::__normal_iterator<std::vector<int, std::allocator<int> >*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > >::operator*() const [205]
-----------------------------------------------
                0.00    0.00    1195/1195        int* std::__copy_move_a2<false, int const*, int*>(int const*, int const*, int*) [221]
[206]    0.0    0.00    0.00    1195         int* std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<int>(int const*, int const*, int*) [206]
-----------------------------------------------
                0.00    0.00    1195/1195        std::_Vector_base<int, std::allocator<int> >::_Vector_base(unsigned long, std::allocator<int> const&) [211]
[207]    0.0    0.00    0.00    1195         std::_Vector_base<int, std::allocator<int> >::_Vector_impl::_Vector_impl(std::allocator<int> const&) [207]
                0.00    0.00    1195/4437        std::allocator<int>::allocator(std::allocator<int> const&) [151]
                0.00    0.00    1195/2390        std::_Vector_base<int, std::allocator<int> >::_Vector_impl_data::_Vector_impl_data() [180]
-----------------------------------------------
                0.00    0.00    1195/1195        std::_Vector_base<int, std::allocator<int> >::_Vector_base() [210]
[208]    0.0    0.00    0.00    1195         std::_Vector_base<int, std::allocator<int> >::_Vector_impl::_Vector_impl() [208]
                0.00    0.00    1195/2390        std::_Vector_base<int, std::allocator<int> >::_Vector_impl_data::_Vector_impl_data() [180]
                0.00    0.00    1195/1196        std::allocator<int>::allocator() [201]
-----------------------------------------------
                0.00    0.00    1195/1195        std::_Vector_base<int, std::allocator<int> >::_Vector_base(unsigned long, std::allocator<int> const&) [211]
[209]    0.0    0.00    0.00    1195         std::_Vector_base<int, std::allocator<int> >::_M_create_storage(unsigned long) [209]
                0.00    0.00    1195/2404        std::_Vector_base<int, std::allocator<int> >::_M_allocate(unsigned long) [176]
-----------------------------------------------
                0.00    0.00    1195/1195        std::vector<int, std::allocator<int> >::vector() [217]
[210]    0.0    0.00    0.00    1195         std::_Vector_base<int, std::allocator<int> >::_Vector_base() [210]
                0.00    0.00    1195/1195        std::_Vector_base<int, std::allocator<int> >::_Vector_impl::_Vector_impl() [208]
-----------------------------------------------
                0.00    0.00    1195/1195        std::vector<int, std::allocator<int> >::vector(std::vector<int, std::allocator<int> > const&) [216]
[211]    0.0    0.00    0.00    1195         std::_Vector_base<int, std::allocator<int> >::_Vector_base(unsigned long, std::allocator<int> const&) [211]
                0.00    0.00    1195/1195        std::_Vector_base<int, std::allocator<int> >::_Vector_impl::_Vector_impl(std::allocator<int> const&) [207]
                0.00    0.00    1195/1195        std::_Vector_base<int, std::allocator<int> >::_M_create_storage(unsigned long) [209]
-----------------------------------------------
                0.00    0.00      12/1195        void std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::_M_realloc_insert<std::vector<int, std::allocator<int> > const&>(__gnu_cxx::__normal_iterator<std::vector<int, std::allocator<int> >*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > >, std::vector<int, std::allocator<int> > const&) [263]
                0.00    0.00    1183/1195        std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::push_back(std::vector<int, std::allocator<int> > const&) [215]
[212]    0.0    0.00    0.00    1195         void std::allocator_traits<std::allocator<std::vector<int, std::allocator<int> > > >::construct<std::vector<int, std::allocator<int> >, std::vector<int, std::allocator<int> > const&>(std::allocator<std::vector<int, std::allocator<int> > >&, std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> > const&) [212]
                0.00    0.00    1195/2402        std::vector<int, std::allocator<int> > const& std::forward<std::vector<int, std::allocator<int> > const&>(std::remove_reference<std::vector<int, std::allocator<int> > const&>::type&) [177]
                0.00    0.00    1195/1195        void __gnu_cxx::new_allocator<std::vector<int, std::allocator<int> > >::construct<std::vector<int, std::allocator<int> >, std::vector<int, std::allocator<int> > const&>(std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> > const&) [202]
-----------------------------------------------
                0.00    0.00    1195/1195        __gnu_cxx::__alloc_traits<std::allocator<int>, int>::_S_select_on_copy(std::allocator<int> const&) [203]
[213]    0.0    0.00    0.00    1195         std::allocator_traits<std::allocator<int> >::select_on_container_copy_construction(std::allocator<int> const&) [213]
                0.00    0.00    1195/4437        std::allocator<int>::allocator(std::allocator<int> const&) [151]
-----------------------------------------------
                0.00    0.00    1195/1195        int* std::uninitialized_copy<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*>(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*) [222]
[214]    0.0    0.00    0.00    1195         int* std::__uninitialized_copy<true>::__uninit_copy<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*>(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*) [214]
                0.00    0.00    1195/1195        int* std::copy<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*>(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*) [224]
-----------------------------------------------
                0.00    0.00    1195/1195        KosarajuAdjMatrix::findSCCs() [2]
[215]    0.0    0.00    0.00    1195         std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::push_back(std::vector<int, std::allocator<int> > const&) [215]
                0.00    0.00    1183/1195        void std::allocator_traits<std::allocator<std::vector<int, std::allocator<int> > > >::construct<std::vector<int, std::allocator<int> >, std::vector<int, std::allocator<int> > const&>(std::allocator<std::vector<int, std::allocator<int> > >&, std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> > const&) [212]
                0.00    0.00      12/13          std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::end() [254]
                0.00    0.00      12/12          void std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::_M_realloc_insert<std::vector<int, std::allocator<int> > const&>(__gnu_cxx::__normal_iterator<std::vector<int, std::allocator<int> >*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > >, std::vector<int, std::allocator<int> > const&) [263]
